bin 20000 de 0.00386817
threshold 4.4484 6.11171
0.00386817 1.67268e-08 0 0
0.00773635 1.25586e-08 0 0
0.0116045 9.63813e-09 0 0
0.0154727 7.53517e-09 0 0
0.0193409 5.98445e-09 0 0
0.023209 4.81667e-09 0 0
0.0270772 3.92057e-09 0 0
0.0309454 3.22111e-09 0 0
0.0348136 2.66651e-09 0 0
0.0386817 2.22033e-09 0 0
0.0425499 1.85642e-09 0 0
0.0464181 1.55576e-09 0 0
0.0502863 1.30425e-09 0 0
0.0541544 1.09135e-09 0 0
0.0580226 9.09056e-10 0 0
0.0618908 7.5122e-10 0 0
0.065759 6.13087e-10 0 0
0.0696271 4.90935e-10 0 0
0.0734953 3.81826e-10 0 0
0.0773635 2.83423e-10 0 0
0.0812317 1.93853e-10 0 0
0.0850998 2.51083e-10 0 0
0.088968 3.26649e-10 0 0
0.0928362 3.9714e-10 0 0
0.0967044 4.63381e-10 0 0
0.100573 5.26056e-10 0 0
0.104441 5.85731e-10 0 0
0.108309 6.42878e-10 0 0
0.112177 6.97895e-10 0 0
0.116045 7.51114e-10 0 0
0.119913 8.02818e-10 0 0
0.123782 8.53246e-10 0 0
0.12765 9.026e-10 0 0
0.131518 9.51054e-10 0 0
0.135386 9.98757e-10 0 0
0.139254 1.04584e-09 0 0
0.143122 1.0924e-09 0 0
0.146991 1.13854e-09 0 0
0.150859 1.18435e-09 0 0
0.154727 1.22989e-09 0 0
0.158595 1.27522e-09 0 0
0.162463 1.3204e-09 0 0
0.166331 1.36547e-09 0 0
0.1702 1.41048e-09 0 0
0.174068 1.45545e-09 0 0
0.177936 1.50043e-09 0 0
0.181804 1.54543e-09 0 0
0.185672 1.59048e-09 0 0
0.189541 1.63561e-09 0 0
0.193409 1.68082e-09 0 0
0.197277 1.72614e-09 0 0
0.201145 1.77158e-09 0 0
0.205013 1.81714e-09 0 0
0.208881 1.86285e-09 0 0
0.21275 1.90871e-09 0 0
0.216618 1.95473e-09 0 0
0.220486 2.00091e-09 0 0
0.224354 2.04726e-09 0 0
0.228222 2.09379e-09 0 0
0.23209 2.1405e-09 0 0
0.235959 2.18739e-09 0 0
0.239827 2.23447e-09 0 0
0.243695 2.28174e-09 0 0
0.247563 2.3292e-09 0 0
0.251431 2.37685e-09 0 0
0.255299 2.4247e-09 0 0
0.259168 2.47274e-09 0 0
0.263036 2.52098e-09 0 0
0.266904 2.56942e-09 0 0
0.270772 2.61805e-09 0 0
0.27464 2.66689e-09 0 0
0.278509 2.71591e-09 0 0
0.282377 2.76514e-09 0 0
0.286245 2.81456e-09 0 0
0.290113 2.86418e-09 0 0
0.293981 2.91399e-09 0 0
0.297849 2.96399e-09 0 0
0.301718 3.01419e-09 0 0
0.305586 3.06458e-09 0 0
0.309454 3.11516e-09 0 0
0.313322 3.16593e-09 0 0
0.31719 3.21688e-09 0 0
0.321058 3.26803e-09 0 0
0.324927 3.31936e-09 0 0
0.328795 3.37087e-09 0 0
0.332663 3.42257e-09 0 0
0.336531 3.47444e-09 0 0
0.340399 3.5265e-09 0 0
0.344267 3.57874e-09 0 0
0.348136 3.63115e-09 0 0
0.352004 3.68374e-09 0 0
0.355872 3.7365e-09 0 0
0.35974 3.78943e-09 0 0
0.363608 3.84253e-09 0 0
0.367477 3.8958e-09 0 0
0.371345 3.94924e-09 0 0
0.375213 4.00285e-09 0 0
0.379081 4.05661e-09 0 0
0.382949 4.11054e-09 0 0
0.386817 4.16463e-09 0 0
0.390686 4.21888e-09 0 0
0.394554 4.27329e-09 0 0
0.398422 4.32785e-09 0 0
0.40229 4.38257e-09 0 0
0.406158 4.43743e-09 0 0
0.410026 4.49245e-09 0 0
0.413895 4.54762e-09 0 0
0.417763 4.60294e-09 0 0
0.421631 4.6584e-09 0 0
0.425499 4.714e-09 0 0
0.429367 4.76975e-09 0 0
0.433235 4.82564e-09 0 0
0.437104 4.88167e-09 0 0
0.440972 4.93783e-09 0 0
0.44484 4.99414e-09 0 0
0.448708 5.05057e-09 0 0
0.452576 5.10714e-09 0 0
0.456445 5.16385e-09 0 0
0.460313 5.22068e-09 0 0
0.464181 5.27764e-09 0 0
0.468049 5.33473e-09 0 0
0.471917 5.39194e-09 0 0
0.475785 5.44928e-09 0 0
0.479654 5.50674e-09 0 0
0.483522 5.56432e-09 0 0
0.48739 5.62201e-09 0 0
0.491258 5.67983e-09 0 0
0.495126 5.73777e-09 0 0
0.498994 5.79581e-09 0 0
0.502863 5.85398e-09 0 0
0.506731 5.91225e-09 0 0
0.510599 5.97064e-09 0 0
0.514467 6.02913e-09 0 0
0.518335 6.08773e-09 0 0
0.522203 6.14644e-09 0 0
0.526072 6.20525e-09 0 0
0.52994 6.26417e-09 0 0
0.533808 6.32319e-09 0 0
0.537676 6.38231e-09 0 0
0.541544 6.44153e-09 0 0
0.545413 6.50085e-09 0 0
0.549281 6.56026e-09 0 0
0.553149 6.61977e-09 0 0
0.557017 6.67937e-09 0 0
0.560885 6.73907e-09 0 0
0.564753 6.79885e-09 0 0
0.568622 6.85873e-09 0 0
0.57249 6.91869e-09 0 0
0.576358 6.97875e-09 0 0
0.580226 7.03888e-09 0 0
0.584094 7.09911e-09 0 0
0.587962 7.15941e-09 0 0
0.591831 7.2198e-09 0 0
0.595699 7.28027e-09 0 0
0.599567 7.34082e-09 0 0
0.603435 7.40145e-09 0 0
0.607303 7.46215e-09 0 0
0.611171 7.52293e-09 0 0
0.61504 7.58379e-09 0 0
0.618908 7.64472e-09 0 0
0.622776 7.70572e-09 0 0
0.626644 7.76679e-09 0 0
0.630512 7.82793e-09 0 0
0.634381 7.88914e-09 0 0
0.638249 7.95042e-09 0 0
0.642117 8.01176e-09 0 0
0.645985 8.07317e-09 0 0
0.649853 8.13464e-09 0 0
0.653721 8.19618e-09 0 0
0.65759 8.25778e-09 0 0
0.661458 8.31943e-09 0 0
0.665326 8.38115e-09 0 0
0.669194 8.44293e-09 0 0
0.673062 8.50476e-09 0 0
0.67693 8.56664e-09 0 0
0.680799 8.62859e-09 0 0
0.684667 8.69058e-09 0 0
0.688535 8.75263e-09 0 0
0.692403 8.81473e-09 0 0
0.696271 8.87688e-09 0 0
0.700139 8.93908e-09 0 0
0.704008 9.00133e-09 0 0
0.707876 9.06362e-09 0 0
0.711744 9.12597e-09 0 0
0.715612 9.18835e-09 0 0
0.71948 9.25078e-09 0 0
0.723349 9.31326e-09 0 0
0.727217 9.37577e-09 0 0
0.731085 9.43833e-09 0 0
0.734953 9.50092e-09 0 0
0.738821 9.56356e-09 0 0
0.742689 9.62623e-09 0 0
0.746558 9.68894e-09 0 0
0.750426 9.75169e-09 0 0
0.754294 9.81447e-09 0 0
0.758162 9.87728e-09 0 0
0.76203 9.94013e-09 0 0
0.765898 1.0003e-08 0 0
0.769767 1.00659e-08 0 0
0.773635 1.01289e-08 0 0
0.777503 1.01918e-08 0 0
0.781371 1.02548e-08 0 0
0.785239 1.03179e-08 0 0
0.789107 1.03809e-08 0 0
0.792976 1.0444e-08 0 0
0.796844 1.05071e-08 0 0
0.800712 1.05702e-08 0 0
0.80458 1.06334e-08 0 0
0.808448 1.06965e-08 0 0
0.812317 1.07597e-08 0 0
0.816185 1.08229e-08 0 0
0.820053 1.08862e-08 0 0
0.823921 1.09494e-08 0 0
0.827789 1.10127e-08 0 0
0.831657 1.1076e-08 0 0
0.835526 1.11393e-08 0 0
0.839394 1.12026e-08 0 0
0.843262 1.12659e-08 0 0
0.84713 1.13292e-08 0 0
0.850998 1.13926e-08 0 0
0.854866 1.1456e-08 0 0
0.858735 1.15193e-08 0 0
0.862603 1.15827e-08 0 0
0.866471 1.16461e-08 0 0
0.870339 1.17095e-08 0 0
0.874207 1.17729e-08 0 0
0.878076 1.18363e-08 0 0
0.881944 1.18998e-08 0 0
0.885812 1.19632e-08 0 0
0.88968 1.20266e-08 0 0
0.893548 1.20901e-08 0 0
0.897416 1.21535e-08 0 0
0.901285 1.22169e-08 0 0
0.905153 1.22804e-08 0 0
0.909021 1.23438e-08 0 0
0.912889 1.24073e-08 0 0
0.916757 1.24707e-08 0 0
0.920625 1.25342e-08 0 0
0.924494 1.25976e-08 0 0
0.928362 1.2661e-08 0 0
0.93223 1.27245e-08 0 0
0.936098 1.27879e-08 0 0
0.939966 1.28513e-08 0 0
0.943834 1.29147e-08 0 0
0.947703 1.29782e-08 0 0
0.951571 1.30416e-08 0 0
0.955439 1.3105e-08 0 0
0.959307 1.31683e-08 0 0
0.963175 1.32317e-08 0 0
0.967044 1.32951e-08 0 0
0.970912 1.33585e-08 0 0
0.97478 1.34218e-08 0 0
0.978648 1.34852e-08 0 0
0.982516 1.35485e-08 0 0
0.986384 1.36118e-08 0 0
0.990253 1.36751e-08 0 0
0.994121 1.37384e-08 0 0
0.997989 1.38017e-08 0 0
1.00186 1.38649e-08 0 0
1.00573 1.39282e-08 0 0
1.00959 1.39914e-08 0 0
1.01346 1.40546e-08 0 0
1.01733 1.41178e-08 0 0
1.0212 1.4181e-08 0 0
1.02507 1.42442e-08 0 0
1.02893 1.43073e-08 0 0
1.0328 1.43704e-08 0 0
1.03667 1.44335e-08 0 0
1.04054 1.44966e-08 0 0
1.04441 1.45597e-08 0 0
1.04828 1.46227e-08 0 0
1.05214 1.46857e-08 0 0
1.05601 1.47487e-08 0 0
1.05988 1.48117e-08 0 0
1.06375 1.48747e-08 0 0
1.06762 1.49376e-08 0 0
1.07148 1.50005e-08 0 0
1.07535 1.50634e-08 0 0
1.07922 1.51262e-08 0 0
1.08309 1.51891e-08 0 0
1.08696 1.52519e-08 0 0
1.09083 1.53146e-08 0 0
1.09469 1.53774e-08 0 0
