bin 20000 de 0.00773635
threshold 0
0.0 0.0 0.0
0.00773635 5.26298e-07 1.8648e-07
0.0154727 3.67857e-07 1.79074e-07
0.023209 2.97688e-07 1.8036e-07
0.0309454 2.56079e-07 1.82134e-07
0.0386817 2.27941e-07 1.83574e-07
0.0464181 2.07425e-07 1.84629e-07
0.0541544 1.91717e-07 1.8536e-07
0.0618908 1.79274e-07 1.85832e-07
0.0696271 1.69166e-07 1.86102e-07
0.0773635 1.60796e-07 1.86212e-07
0.0850998 1.53761e-07 1.86194e-07
0.0928362 1.47774e-07 1.86075e-07
0.100573 1.4263e-07 1.85874e-07
0.108309 1.38172e-07 1.85607e-07
0.116045 1.34282e-07 1.85286e-07
0.123782 1.30867e-07 1.84921e-07
0.131518 1.27854e-07 1.84521e-07
0.139254 1.25184e-07 1.84092e-07
0.146991 1.22809e-07 1.83639e-07
0.154727 1.20689e-07 1.83168e-07
0.162463 1.18791e-07 1.82681e-07
0.1702 1.17088e-07 1.82183e-07
0.177936 1.15556e-07 1.81675e-07
0.185672 1.14174e-07 1.8116e-07
0.193409 1.12927e-07 1.80641e-07
0.201145 1.11799e-07 1.80118e-07
0.208881 1.10776e-07 1.79594e-07
0.216618 1.0985e-07 1.79068e-07
0.224354 1.09008e-07 1.78544e-07
0.23209 1.08243e-07 1.7802e-07
0.239827 1.07547e-07 1.77499e-07
0.247563 1.06914e-07 1.7698e-07
0.255299 1.06337e-07 1.76465e-07
0.263036 1.05811e-07 1.75954e-07
0.270772 1.05332e-07 1.75447e-07
0.278509 1.04894e-07 1.74944e-07
0.286245 1.04495e-07 1.74446e-07
0.293981 1.04131e-07 1.73954e-07
0.301718 1.03798e-07 1.73467e-07
0.309454 1.03494e-07 1.72985e-07
0.31719 1.03217e-07 1.72509e-07
0.324927 1.02963e-07 1.72039e-07
0.332663 1.02731e-07 1.71575e-07
0.340399 1.0252e-07 1.71117e-07
0.348136 1.02326e-07 1.70665e-07
0.355872 1.02149e-07 1.70219e-07
0.363608 1.01988e-07 1.69779e-07
0.371345 1.0184e-07 1.69346e-07
0.379081 1.01705e-07 1.68918e-07
0.386817 1.01582e-07 1.68497e-07
0.394554 1.01468e-07 1.68081e-07
0.40229 1.01365e-07 1.67672e-07
0.410026 1.0127e-07 1.67269e-07
0.417763 1.01184e-07 1.66871e-07
0.425499 1.01104e-07 1.6648e-07
0.433235 1.01031e-07 1.66095e-07
0.440972 1.00964e-07 1.65715e-07
0.448708 1.00902e-07 1.65341e-07
0.456445 1.00845e-07 1.64973e-07
0.464181 1.00792e-07 1.64611e-07
0.471917 1.00743e-07 1.64254e-07
0.479654 1.00698e-07 1.63903e-07
0.48739 1.00656e-07 1.63557e-07
0.495126 1.00616e-07 1.63217e-07
0.502863 1.00579e-07 1.62882e-07
0.510599 1.00544e-07 1.62552e-07
0.518335 1.00511e-07 1.62227e-07
0.526072 1.00479e-07 1.61908e-07
0.533808 1.00449e-07 1.61594e-07
0.541544 1.0042e-07 1.61284e-07
0.549281 1.00392e-07 1.60979e-07
0.557017 1.00365e-07 1.6068e-07
0.564753 1.00338e-07 1.60385e-07
0.57249 1.00311e-07 1.60094e-07
0.580226 1.00285e-07 1.59808e-07
0.587962 1.00259e-07 1.59527e-07
0.595699 1.00233e-07 1.5925e-07
0.603435 1.00207e-07 1.58978e-07
0.611171 1.0018e-07 1.5871e-07
0.618908 1.00153e-07 1.58446e-07
0.626644 1.00126e-07 1.58186e-07
0.634381 1.00099e-07 1.57931e-07
0.642117 1.00071e-07 1.57679e-07
0.649853 1.00042e-07 1.57432e-07
0.65759 1.00012e-07 1.57188e-07
0.665326 9.99822e-08 1.56949e-07
0.673062 9.99512e-08 1.56713e-07
0.680799 9.99194e-08 1.5648e-07
0.688535 9.98867e-08 1.56252e-07
0.696271 9.98531e-08 1.56027e-07
0.704008 9.98186e-08 1.55806e-07
0.711744 9.9783e-08 1.55588e-07
0.71948 9.97465e-08 1.55373e-07
0.727217 9.9709e-08 1.55162e-07
0.734953 9.96704e-08 1.54954e-07
0.742689 9.96307e-08 1.5475e-07
0.750426 9.959e-08 1.54549e-07
0.758162 9.95482e-08 1.5435e-07
0.765898 9.95053e-08 1.54155e-07
0.773635 9.94612e-08 1.53963e-07
0.781371 9.94161e-08 1.53774e-07
0.789107 9.93698e-08 1.53588e-07
0.796844 9.93224e-08 1.53405e-07
0.80458 9.92739e-08 1.53225e-07
0.812317 9.92242e-08 1.53047e-07
0.820053 9.91734e-08 1.52873e-07
0.827789 9.91215e-08 1.52701e-07
0.835526 9.90685e-08 1.52531e-07
0.843262 9.90144e-08 1.52364e-07
0.850998 9.89591e-08 1.522e-07
0.858735 9.89028e-08 1.52039e-07
0.866471 9.88453e-08 1.51879e-07
0.874207 9.87867e-08 1.51723e-07
0.881944 9.87271e-08 1.51569e-07
